ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""","skos:definition ""en""",dc:source,SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
WBTEMP,Temperatura húmeda,Temperatura mínima alcanzable mediante la evaporación de agua en el aire.,Wet bulb temperature,,Minimum temperature attainable by evaporating water into air.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P01/current/CWETZZ01,,,,PHYSATMPARAM,,FALSE
WINSPEED,Velocidad del viento,Velocidad con la que se desplaza el viento.,Wind speed,,Speed at which the wind moves.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/ERWSZZ01
 https://vocab.met.no/GCMDSK/en/page/a92f49f3-e2ee-4ef4-b064-39311ffb95d3",,,,PHYSATMPARAM,,FALSE
BGCMPARAM,Parámetros Biogeoquímicos,"Variables que describen la composición química del agua y los ciclos de los elementos, influenciados tanto por procesos biológicos como geológicos. Incluye nutrientes, gases disueltos y el sistema de carbonatos.",Biogeochemical Parameters,,"Variables that describe the chemical composition of water and the cycling of elements, influenced by both biological and geological processes. Includes nutrients, dissolved gases, and the carbonate system.","Gabinete de oceanografía fisica, INIDEP.",,,,,,"OXYGEN
NUTRIENT
INORGCARB
TRANSTRACER
PARTMATTER
STABLEISOT
DOC",FALSE
OXYGEN,Oxígeno,"Gas disuelto en el agua de mar, fundamental para la vida acuática. Su concentración es un indicador clave de la salud del ecosistema y de procesos biogeoquímicos.",Oxygen,,"Gas dissolved in seawater, essential for aquatic life. Its concentration is a key indicator of ecosystem health and biogeochemical processes.","Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/GOXP/,,,,BGCMPARAM,DOXY,FALSE
DOXY,Oxígeno disuelto,La concentración de oxígeno molecular (O₂) disuelto en una masa de agua.,Dissolved oxygen,,The concentration of molecular oxygen (O₂) dissolved in a body of water.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P02/current/DOXY/
 https://gcmd.earthdata.nasa.gov/kms/concept/90aa8838-79bd-4b28-b518-8217e863c385
 http://vocab.aodn.org.au/def/parameter_classes/category/11",,,,OXYGEN,,FALSE
NUTRIENT,Nutriente,"Compuesto químico inorgánico u orgánico esencial para el crecimiento de los productores primarios, como el fitoplancton. Incluye principalmente compuestos de nitrógeno, fósforo y silicio.",Nutrient,,"Inorganic or organic chemical compound essential for the growth of primary producers, such as phytoplankton. Primarily includes compounds of nitrogen, phosphorus, and silicon.","Gabinete de oceanografía fisica, INIDEP.",,,,,BGCMPARAM,"NITRAT
NITRIT
AMMONIA
PHSPHT
SLCACI",FALSE
NITRAT,Nitrato,"Forma de nitrógeno inorgánico disuelto (NO₃⁻) en el agua, uno de los principales nutrientes para el fitoplancton.",Nitrate,,"A form of dissolved inorganic nitrogen (NO₃⁻) in water, one of the primary nutrients for phytoplankton.","Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P02/current/NTRA/
 https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:SIO-TASADAY
view=iso",,,,NUTRIENT,,FALSE
NITRIT,Nitrito,Forma intermedia de nitrógeno inorgánico disuelto (NO₂⁻) en el ciclo del nitrógeno.,Nitrite,,An intermediate form of dissolved inorganic nitrogen (NO₂⁻) in the nitrogen cycle.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P02/current/NTRI/
 https://vocab.met.no/GCMDSK/en/page/941410da-0b7f-4ec6-a718-212194ced13f?clang=en&amp
anylang=on",,,,NUTRIENT,,FALSE
AMMONIA,Amonio,Forma de nitrógeno inorgánico disuelto (NH₄⁺) preferida por muchos tipos de fitoplancton para su asimilación.,Ammonium,,A form of dissolved inorganic nitrogen (NH₄⁺) preferred by many types of phytoplankton for assimilation.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/AMON/,,,,NUTRIENT,,FALSE
PHSPHT,Fosfato,"Forma de fósforo inorgánico disuelto (PO₄³⁻) en el agua, un nutriente esencial para el crecimiento de los productores primarios.",Phosphate,,"A form of dissolved inorganic phosphorus (PO₄³⁻) in water, an essential nutrient for the growth of primary producers.","Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/
 https://gcmd.earthdata.nasa.gov/kms/concept/0b513d8c-bfd3-44ee-976e-42757b8375a2",,,,NUTRIENT,,FALSE
SLCACI,Ácido silícico,"Forma de silicio disuelto (Si(OH)₄) en el agua, esencial para el crecimiento de las diatomeas y otros organismos con esqueletos de sílice.",Silicic acid,,"A form of dissolved silicon (Si(OH)₄) in water, essential for the growth of diatoms and other organisms with silica skeletons.","Gabinete de oceanografía fisica, INIDEP.",,"http://vocab.nerc.ac.uk/collection/P02/current/SLCA/
 https://gcmd.earthdata.nasa.gov/kms/concept/c91c8879-1b29-48e3-b4cd-a238af66cdaf",,,NUTRIENT,,FALSE
INORGCARB,Carbono Inorgánico,"El conjunto de compuestos de carbono inorgánico en el agua de mar, principalmente dióxido de carbono disuelto, ácido carbónico, bicarbonato y carbonato.",Inorganic Carbon,,"The pool of inorganic carbon compounds in seawater, primarily dissolved carbon dioxide, carbonic acid, bicarbonate, and carbonate.","Gabinete de oceanografía fisica, INIDEP.",,,,,BGCMPARAM,"DIC
ALKY
FCO2
PCO2
PH",FALSE
DIC,Carbono Inorgánico Disuelto (CID),"La suma de todas las especies de carbono inorgánico disueltas en el agua, incluyendo CO₂, H₂CO₃, HCO₃⁻ y CO₃²⁻.",Dissolved Inorganic Carbon (DIC),DIC,"The sum of all dissolved inorganic carbon species in water, including CO₂, H₂CO₃, HCO₃⁻, and CO₃²⁻.","Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/TCO2/,http://vocab.nerc.ac.uk/collection/P02/current/TNRP/,,,INORGCARB,,FALSE
ALKY,Alcalinidad Total (AT),Medida de la capacidad del agua para neutralizar ácidos. Representa la suma de las bases de Brønsted en una muestra.,Total Alkalinity (TA),TA,A measure of the capacity of water to neutralize acids. It represents the sum of Brønsted bases in a sample.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P02/current/ALKY/
 https://gcmd.earthdata.nasa.gov/kms/concept/4eab7956-e59e-4615-8d5c-39a16faa1f27
 http://vocab.nerc.ac.uk/collection/P07/current/CF14N55/
 http://vocab.aodn.org.au/def/parameter_classes/category/27",http://vocab.nerc.ac.uk/collection/P01/current/MDMAEXSD/,,,INORGCARB,,FALSE
FCO2,Fugacidad de Dióxido de Carbono (fCO2),"La presión parcial efectiva del dióxido de carbono en el agua de mar, corregida por la no idealidad del gas. La fugacidad es la propiedad que gobierna el intercambio de CO₂ entre el océano y la atmósfera.",Fugacity of Carbon Dioxide (fCO2),fCO2,"The effective partial pressure of carbon dioxide in seawater, corrected for gas non-ideality. Fugacity is the property that governs the exchange of CO₂ between the ocean and the atmosphere.","Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P01/current/FCO2XXXX/,http://vocab.nerc.ac.uk/collection/P02/current/PCO2/,,,INORGCARB,,FALSE
PCO2,Presión Parcial de Dióxido de Carbono (pCO2),La presión que ejercería el dióxido de carbono en la fase gaseosa si estuviera en equilibrio con el agua. Es un indicador clave del intercambio de CO₂ entre el océano y la atmósfera.,Partial Pressure of Carbon Dioxide (pCO2),pCO2,The pressure that carbon dioxide would exert in the gas phase if it were in equilibrium with the water. It is a key indicator of CO₂ exchange between the ocean and the atmosphere.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX/,http://vocab.nerc.ac.uk/collection/P02/current/PCO2/,,,INORGCARB,,FALSE
PH,pH,Medida de la acidez o basicidad de una solución acuosa. Se define como el logaritmo negativo de la actividad de los iones de hidrógeno.,pH,,A measure of the acidity or basicity of an aqueous solution. It is defined as the negative logarithm of the hydrogen ion activity.,"Gabinete de oceanografía fisica, INIDEP.",,http://vocab.nerc.ac.uk/collection/P02/current/ALKY/,,,INORGCARB,,FALSE
TRANSTRACER,Trazador Transitorio,"Sustancia antropogénica o natural cuya concentración en el océano cambia con el tiempo, utilizada para estudiar la circulación oceánica y las escalas de tiempo de los procesos.",Transient Tracer,,"An anthropogenic or natural substance whose concentration in the ocean changes over time, used to study ocean circulation and process timescales.","Gabinete de oceanografía fisica, INIDEP.",,,,,BGCMPARAM,"CFC12
SF6
TRITUM
HELIUM3
CARB14
ARGON39",FALSE
CFC12,Clorofluorocarbono-12 (CFC-12),Compuesto antropogénico utilizado como trazador transitorio para determinar la edad y las rutas de las masas de agua oceánicas.,Chlorofluorocarbon-12 (CFC-12),CFC-12,An anthropogenic compound used as a transient tracer to determine the age and pathways of ocean water masses.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/FR11/,,,,TRANSTRACER,,FALSE
SF6,Hexafluoruro de azufre (SF6),"Gas inerte y antropogénico utilizado como trazador transitorio, especialmente para datar masas de agua muy jóvenes.",Sulphur hexafluoride (SF6),SF6,"An inert, anthropogenic gas used as a transient tracer, especially for dating very young water masses.","Gabinete de oceanografía fisica, INIDEP.",,https://vocab.nerc.ac.uk/collection/P01/current/PSF6XXXX/,,,TRANSTRACER,,FALSE
TRITUM,Tritio (³H),"Isótopo radiactivo del hidrógeno, utilizado para datar aguas y estudiar procesos de mezcla en el océano.",Tritium (³H), ³H,"A radioactive isotope of hydrogen, used to date waters and study mixing processes in the ocean.","Gabinete de oceanografía fisica, INIDEP.",,https://vocab.nerc.ac.uk/collection/P01/current/MXTX3H1H/,,,TRANSTRACER,,FALSE
HELIUM3,Helio-3 (³He),"Isótopo estable del helio, a menudo utilizado en conjunto con el tritio para calcular la edad de ventilación de una masa de agua.",Helium-3 (³He),³He,"A stable isotope of helium, often used in conjunction with tritium to calculate the ventilation age of a water mass.","Gabinete de oceanografía fisica, INIDEP.",,https://vocab.nerc.ac.uk/collection/P01/current/DHE3XX01/,,,TRANSTRACER,,FALSE
CARB14,Carbono-14 (¹⁴C),"Isótopo radiactivo del carbono, utilizado para la datación por radiocarbono de las masas de agua y para estudiar el ciclo del carbono en el océano.",Carbon-14 (¹⁴C),¹⁴C,"A radioactive isotope of carbon, used for radiocarbon dating of water masses and for studying the ocean's carbon cycle.","Gabinete de oceanografía fisica, INIDEP.",,http://vocab.nerc.ac.uk/collection/P01/current/D14CMIER/,,,TRANSTRACER,,FALSE
ARGON39,Argón-39 (³⁹Ar),"Isótopo radiactivo del argón, utilizado para datar masas de agua en escalas de tiempo intermedias (cientos de años).",Argon-39 (³⁹Ar),³⁹Ar,"A radioactive isotope of argon, used for dating water masses on intermediate timescales (hundreds of years).","Gabinete de oceanografía fisica, INIDEP.",,https://vocab.nerc.ac.uk/collection/P01/current/ARSTZZ01/,,,TRANSTRACER,,FALSE
PARTMATTER,Materia Particulada,"Material orgánico e inorgánico suspendido en la columna de agua, como detritos, células vivas y minerales.",Particulate Matter,,"Organic and inorganic material suspended in the water column, such as detritus, living cells, and minerals.","Gabinete de oceanografía fisica, INIDEP.",,,,,BGCMPARAM,"POM
POC
PON
POP
PIC
TSM
FLUXPOCR
FLUXC
FLUXBISI
CHL
NITROUSOXIDE",FALSE
POM,Materia Orgánica Particulada (MOP),Componente de la materia total en suspensión que se origina a partir de organismos vivos o sus restos.,Particulate Organic Matter (POM),POM,The component of total suspended matter that originates from living organisms or their remains.,"Gabinete de oceanografía fisica, INIDEP.",,,,,PARTMATTER,,FALSE
POC,Carbono Orgánico Particulado (COP),"La fracción del carbono orgánico total que es retenida por un filtro, generalmente con un tamaño de poro de 0.2 a 0.7 micrómetros.",Particulate Organic Carbon (POC),POC,"The fraction of total organic carbon that is retained by a filter, typically with a pore size of 0.2 to 0.7 micrometers.","Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/CORGPGFC/,,,,PARTMATTER,,FALSE
